codice_territorio,comune,2014,2015,2016,2017
"004013","Barolo","17.52","9.44","8.26","4.21",
"004014","Bastia Mondovì","5.98","8.94","13.41","21.1",
"004015","Battifollo","31.25","50","18.35","45.25",
"004016","Beinette","6.78","11.44","9.34","8.42",
"004017","Bellino","50.85","53.33","18.43","18.96",
"004018","Belvedere Langhe","19.26","19.31","0","16.26",
"004019","Bene Vagienna","13.04","9.23","12.84","13.17",
"004020","Benevello","6.35","10.54","14.55","4.11",
"004021","Bergolo","44.78","0","43.17","44.78",
"004022","Bernezzo","9.73","6.62","5.1","7.75",
"004023","Bonvicino","20","21.51","31.25","40.82",
"004024","Borgomale","15.4","18.04","10.47","2.59",
"004025","Borgo San Dalmazzo","10.49","10.9","10.12","8.43",
"004026","Bosia","16.44","11.14","17.24","17.09",
"004027","Bossolasco","15.9","14.48","16.42","22.81",
"004028","Boves","11.86","11.07","11.51","9.39",
"004029","Bra","10.42","11.77","10.41","9.96",
"004030","Briaglia","15.02","6.17","15.8","9.62",
"004031","Briga Alta","50.63","25.97","0","25.32",
"004032","Brondello","13.72","13.77","10.49","21.54",
"004033","Brossasco","14.61","16.51","13.95","16.06",
"004034","Busca","9.7","12.27","11.32","11.96",
"004035","Camerana","13.91","14.15","7.99","17.89",
"004036","Camo","0","9.85","20.05","31.01",
"004037","Canale","8.69","10.07","11.81","12.58",
"004038","Canosio","24.39","49.69","12.5","0",
"004039","Caprauna","28.85","9.66","9.62","19.23",
"004040","Caraglio","10.55","12.16","12.6","11.18",
"004041","Caramagna Piemonte","13.45","7.57","8.86","12.09",
"004042","Cardè","6.99","11.44","8.94","14.27",
"004043","Carrù","9.54","12.68","11.39","15.95",
"004044","Cartignano","21.68","21.22","10.34","26.53",
"004045","Casalgrasso","12.24","9.51","10.17","17.16",
"004046","Castagnito","7.38","6.47","7.41","6.48",
"004047","Casteldelfino","17.8","30.77","0","32.26",
"004048","Castellar","10.42","20.51","10.03","13.27",
"004049","Castelletto Stura","4.39","9.54","11.76","10.88",
"004050","Castelletto Uzzone","20.62","6.02","18.26","18.9",
"004051","Castellinaldo d'Alba","14.85","15.93","12.81","15.01",
"004052","Castellino Tanaro","6.22","25.28","25.81","29.95",
"004053","Castelmagno","53.69","14.49","46.88","0",
"004054","Castelnuovo di Ceva","25.21","53.33","35.71","17.17",
"004055","Castiglione Falletto","7","9.87","4.27","14.14",
"004056","Castiglione Tinella","15.75","15.66","13.49","25.21",
"004057","Castino","12.13","12.32","12.37","20.35",
"004058","Cavallerleone","9.21","13.86","3.11","13.56",
"004059","Cavallermaggiore","9.39","10.11","12.89","12.43",
"004060","Celle di Macra","20.51","30.15","30.15","0",
"004061","Centallo","8.82","8.5","9.8","8.91",
"004062","Ceresole Alba","12.85","12.37","9.61","7.25",
"004063","Cerretto Langhe","20.27","29.45","4.48","29.02",
"004064","Cervasca","10.66","10.17","8.72","8.8",
"004065","Cervere","7.7","10.77","8.46","6.64",
"004066","Ceva","12.59","11.73","9.87","12.82",
"004067","Cherasco","8.77","11.03","8.8","9.06",
"004068","Chiusa di Pesio","13.24","13.3","11.51","14.84",
"004069","Cigliè","20.83","10.47","15.83","26.81",
"004070","Cissone","0","11.9","23.12","11.24",
"004071","Clavesana","16.36","14.35","9.64","25.32",
"004072","Corneliano d'Alba","9.41","15.47","17.62","15.26",
"004073","Cortemilia","16.48","20.88","16.41","21.86",
"004074","Cossano Belbo","7.15","22.68","17.72","16.59",
"004075","Costigliole Saluzzo","9.56","12.16","11.9","11.96",
"004076","Cravanzana","21.77","14.56","17.54","12.97",
"004077","Crissolo","18.29","23.74","11.87","30.21",
"004078","Cuneo","11.17","11.27","10.89","10.48",
"004079","Demonte","11.97","9.99","15.03","17.63",
"004080","Diano d'Alba","9.28","10.38","5.85","8.89",
"004081","Dogliani","11.39","12.9","13.58","13.65",
"004082","Dronero","14","14.15","11.78","12.61",
"004083","Elva","10.47","0","31.75","0",
"004084","Entracque","22.26","14.02","9.94","17.83",
"004085","Envie","11.59","13.97","12.2","14.38",
"004086","Farigliano","16.07","13.71","12.53","15.36",
"004087","Faule","12.11","18.15","6.12","8.08",
"004088","Feisoglio","21.37","12.52","19.26","22.95",
"004089","Fossano","9.09","11.64","10.99","11.4",
"004090","Frabosa Soprana","21.44","23.24","17.44","20.19",
"004091","Frabosa Sottana","13.97","12","10.51","11.09",
"004092","Frassino","14.29","18.38","18.98","30.02",
"004093","Gaiola","8.44","3.42","5.12","13.63",
"004094","Gambasca","12.82","21.08","24.49","19.39",
"004095","Garessio","15.64","20.45","18.68","18.69",
"004096","Genola","6.45","5.71","7.94","7.15",
"004097","Gorzegno","6.46","22.73","26.8","21.02",
"004098","Gottasecca","31.35","33.33","6.76","6.87",
"004099","Govone","14.86","14.91","10.86","10.78",
"004100","Grinzane Cavour","10.36","9.99","8.56","7.57",
"004101","Guarene","8.22","5.89","9.21","10.1",
"004102","Igliano","12.74","39.74","13.7","57.14",
"004103","Isasca","26.49","26.49","12.74","12.35",
"004104","Lagnasco","12.41","8.97","16.49","6.89",
"004105","La Morra","13.41","10.22","16.57","16.4",
"004106","Lequio Berria","10.02","16.26","12.4","10.45",
"004107","Lequio Tanaro","11.43","12.81","25.76","15.76",
"004108","Lesegno","13.56","17.53","16.47","16.05",
"004109","Levice","12.68","17.28","17.9","27.91",
"004110","Limone Piemonte","11.47","14.19","14.9","14.99",
"004111","Lisio","33.18","39.02","20.3","15.71",
"004112","Macra","17.54","33.9","34.48","0",
"004113","Magliano Alfieri","11.9","17.27","8.76","19.39",
"004114","Magliano Alpi","11.48","12.84","9.78","13.47",
"004115","Mango","11.35","12.2","12.26","16.94",
"004116","Manta","7.47","9.02","14.5","10.78",
"004117","Marene","13.44","13.31","11.52","9.73",
"004118","Margarita","11.06","11.11","11.78","16.08",
"004119","Marmora","30.08","0","30.77","33.06",
"004120","Marsaglia","35.64","12.2","20.66","29.98",
"004121","Martiniana Po","10.87","13.73","15.96","10.45",
"004122","Melle","16.18","26.76","23.85","16.95",
"004123","Moiola","21.28","8.57","21.46","30.17",
"004124","Mombarcaro","18.52","33.4","11.39","27.24",
"004125","Mombasiglio","16.17","14.73","22.95","14.8",
"004126","Monastero di Vasco","8.39","15.39","13.06","10.01",
"004127","Monasterolo Casotto","31.41","21.62","47.62","0",
"004128","Monasterolo di Savigliano","7.34","8.77","5.83","10.19",
"004129","Monchiero","1.71","13.73","12.13","10.24",
"004130","Mondovì","10.6","12.71","11.07","11.48",
"004131","Monesiglio","15.2","26.25","25.04","12.66",
"004132","Monforte d'Alba","13.87","19.76","15.1","13.74",
"004133","Montà","10.78","11.83","11.42","13.36",
"004134","Montaldo di Mondovì","13.82","19.37","5.41","12.56",
"004135","Montaldo Roero","10.37","18.69","19.04","16.51",
"004136","Montanera","12.26","7.96","11.91","10.7",
"004137","Montelupo Albese","15.01","9.41","11.37","3.91",
"004138","Montemale di Cuneo","21.51","12.47","8.42","8.64",
"004139","Monterosso Grana","25.27","23.48","23.67","15.44",
"004140","Monteu Roero","13.97","12.82","12.88","17.87",
"004141","Montezemolo","6.63","7.23","15.38","15.59",
"004142","Monticello d'Alba","12.14","11.72","13.88","9.44",
"004143","Moretta","11.5","13.25","10.63","12.13",
"004144","Morozzo","11.9","12.45","12.11","10.27",
"004145","Murazzano","14.13","17.9","15.83","17.19",
"004146","Murello","16.53","9.35","14.53","11.54",
"004147","Narzole","11.29","12.82","8.69","11.21",
"004148","Neive","8.19","12.87","8.19","13.63",
"004149","Neviglie","15","15.54","10.55","15.98",
"004150","Niella Belbo","13.04","18.67","18.82","18.87",
"004151","Niella Tanaro","13.97","14.09","26.7","20.08",
"004152","Novello","11.88","13.1","16.29","7.14",
"004153","Nucetto","11.43","23.07","7.06","21.61",
"004154","Oncino","0","0","0","47.9",
"004155","Ormea","23.61","15.36","27.31","30.51",
"004156","Ostana","12.82","12.42","36.59","0",
"004157","Paesana","15.63","17.87","16.31","17.59",
"004158","Pagno","3.44","13.66","11.99","13.89",
"004159","Pamparato","32.36","19.7","33.28","26.8",
"004160","Paroldo","4.61","23.42","18.74","14.02",
"004161","Perletto","23.37","27.26","17.21","17.73",
"004162","Perlo","0","25.53","25.86","17.47",
"004163","Peveragno","11.22","14.77","12.58","12.74",
"004164","Pezzolo Valle Uzzone","17.14","29.03","17.57","5.78",
"004165","Pianfei","11.97","9.88","8.23","8.37",
"004166","Piasco","13.97","12.24","13.3","10.08",
"004167","Pietraporzio","24.24","25.32","26.85","0",
"004168","Piobesi d'Alba","5.49","4.67","6.89","7.49",
"004169","Piozzo","18.9","19.07","15.05","14.01",
"004170","Pocapaglia","8.94","10.74","9.02","9.65",
"004171","Polonghera","14.43","14.58","7.81","15.78",
"004172","Pontechianale","11.3","17.05","11.49","12.05",
"004173","Pradleves","22.81","27.4","20.28","16.77",
"004174","Prazzo","5.8","5.9","17.8","11.98",
"004175","Priero","7.8","5.73","11.52","9.72",
"004176","Priocca","10.01","9.49","14.4","14.46",
"004177","Priola","19.77","9.99","17.25","13.02",
"004178","Prunetto","21.32","21.86","20","20.34",
"004179","Racconigi","10.17","9.93","8.78","10.31",
"004180","Revello","10.12","11.51","11.99","13.42",
"004181","Rifreddo","10.11","10.13","8.43","6.68",
"004182","Rittana","17.32","26.91","9.17","37.38",
"004183","Roaschia","40.98","53.81","28.44","19.14",
"004184","Roascio","11.3","0","0","20.3",
"004185","Robilante","15.66","11.19","13.96","11.83",
"004186","Roburent","27.59","16.02","8.1","20.22",
"004187","Roccabruna","9.44","11.36","13.32","15.33",
"004188","Rocca Cigliè","14.08","14.13","14.23","14.65",
"004189","Rocca de' Baldi","16.03","14.38","13.19","19.93",
"004190","Roccaforte Mondovì","17.23","12.96","18.45","15.88",
"004191","Roccasparvera","15.76","9.37","6.73","9.41",
"004192","Roccavione","11.43","12.98","12.1","14.6",
"004193","Rocchetta Belbo","17.19","11.76","29.94","12.05",
"004194","Roddi","10.05","4.37","8.08","7.34",
"004195","Roddino","12.8","17.74","7.41","12.15",
"004196","Rodello","9.23","12.28","16.4","14.5",
"004197","Rossana","16.44","12.08","15.51","8.99",
"004198","Ruffia","5.46","5.43","8.19","5.5",
"004199","Sale delle Langhe","14","8.19","14.27","27.61",
"004200","Sale San Giovanni","5.39","10.81","33.33","5.71",
"004201","Saliceto","16.44","21.87","12.27","14.88",
"004202","Salmour","4.21","21.32","15.64","12.66",
"004203","Saluzzo","11.44","12.81","11.97","11.5",
"004204","Sambuco","10.75","10.93","33.33","0",
"004205","Sampeyre","20.56","16.7","13.69","21.71",
"004206","San Benedetto Belbo","47.87","16.62","28.82","11.98",
"004207","San Damiano Macra","13.82","27.75","23.42","26.44",
"004208","Sanfrè","8.96","11.23","11.85","14.52",
"004209","Sanfront","17.49","13.68","13.4","13.94",
"004210","San Michele Mondovì","13.76","15.34","14.14","15.33",
"004211","Sant'Albano Stura","7.48","9.11","12.39","11.22",
"004212","Santa Vittoria d'Alba","10.48","8.27","6.76","8.83",
"004213","Santo Stefano Belbo","10.19","13","12.1","16.28",
"004214","Santo Stefano Roero","19.99","15.79","18.05","16.62",
"004215","Savigliano","11.24","12.11","10.72","10.79",
"004216","Scagnello","0","25.58","5.24","21.68",
"004217","Scarnafigi","16.04","15.68","12.04","14.36",
"004218","Serralunga d'Alba","7.14","5.3","8.83","8.71",
"004219","Serravalle Langhe","24.54","9.42","32.26","19.8",
"004220","Sinio","13.27","11.34","15.22","9.42",
"004221","Somano","16.37","19.42","17.22","23.46",
"004222","Sommariva del Bosco","11.75","11.61","10.9","11.88",
"004223","Sommariva Perno","10.57","13.88","15.03","13.6",
"004224","Stroppo","9.85","48.78","38.65","38.1",
"004225","Tarantasca","10.98","10.37","11.36","9.49",
"004226","Torre Bormida","9.95","44.67","35.71","43.13",
"004227","Torre Mondovì","5.99","11.96","14.2","10.26",
"004228","Torre San Giorgio","0","11.03","12.31","9.61",
"004229","Torresina","35.71","38.1","0","19.23",
"004230","Treiso","13.44","7.37","13.41","13.58",
"004231","Trezzo Tinella","2.95","8.93","24.58","15.7",
"004232","Trinità","15.08","13.69","12.87","9.38",
"004233","Valdieri","16.9","16.01","22.68","12.98",
"004234","Valgrana","12.72","16.59","15.34","16.68",
"004235","Valloriate","18.02","45.25","0","27.03",
"004236","Valmala","0","19.05","19.61","20.2",
"004237","Venasca","13.67","15.2","13.28","17.76",
"004238","Verduno","7.07","12.13","17.36","8.87",
"004239","Vernante","18.47","14.39","17.06","18.19",
"004240","Verzuolo","12.71","10.85","9.63","12.71",
"004241","Vezza d'Alba","12.88","11","16.16","13.97",
"004242","Vicoforte","10.86","13.42","11.45","14.01",
"004243","Vignolo","7","6.18","7.34","8.91",
"004244","Villafalletto","13.14","11.21","7.55","11.69",
"004245","Villanova Mondovì","10.61","11.34","10.37","11.06",
"004246","Villanova Solaro","15.54","12.95","12.94","13.04",
"004247","Villar San Costanzo","13.71","11.01","7.14","14.14",
"004248","Vinadio","23.6","22.9","9.25","17.16",
"004249","Viola","17.57","15.25","20.81","29.69",
"004250","Vottignasco","12.95","14.87","13.02","11.3",
"005001","Agliano Terme","19.01","14.45","17.15","22.73",
"005002","Albugnano","18.52","18.69","17.26","31.31",
"005003","Antignano","23.09","20.35","22.82","15.58",
"005004","Aramengo","9.42","12.92","11.75","22.11",
"005005","Asti","11.2","12.06","11.5","11.84",
"005006","Azzano d'Asti","7.27","22.53","12.72","12.94",
"005007","Baldichieri d'Asti","7.95","7.17","8.15","8.07",
"005008","Belveglio","2.88","5.73","14.49","12.01",
"005009","Berzano di San Pietro","12.32","9.7","11.92","11.92",
"005010","Bruno","8.8","18.26","12.44","15.53",
"005011","Bubbio","13.32","10.08","17","15.13",
"005012","Buttigliera d'Asti","14.1","10.29","11.1","13.95",
"005013","Calamandrana","9.62","10.2","12.55","11.46",
"005014","Calliano","16.46","20.41","14.58","17.96",
"005015","Calosso","13.87","14.8","18.08","13.5",
"005016","Camerano Casasco","27.31","8.5","23.48","21.65",
"005017","Canelli","12.14","12.8","14.22","12.25",
"005018","Cantarana","8.17","13.35","5.04","5.94",
"005019","Capriglio","6.99","3.44","6.93","13.91",
"005020","Casorzo","24.84","21.98","23.81","24.06",
"005021","Cassinasco","6.61","16.37","15","6.79",
"005022","Castagnole delle Lanze","11.06","15.77","14.27","15.91",
"005023","Castagnole Monferrato","17.17","17.54","15.26","19.44",
"005024","Castel Boglione","9.81","11.41","8.26","9.98",
"005025","Castell'Alfero","11.13","13.33","12.69","16.47",
"005026","Castellero","9.87","13.2","9.9","16.92",
"005027","Castelletto Molina","5.36","16.44","28.74","6.06",
"005028","Castello di Annone","11.05","12.26","15.68","11.31",
"005029","Castelnuovo Belbo","20.04","21.24","26.05","26.59",
"005030","Castelnuovo Calcea","21.07","18.58","25.12","22.73",
"005031","Castelnuovo Don Bosco","13.8","15.63","19.06","15.24",
"005032","Castel Rocchero","7.45","7.57","17.48","24.94",
"005033","Cellarengo","11.07","19.35","11.22","21.34",
"005034","Celle Enomondo","18.44","8.26","8.24","14.54",
"005035","Cerreto d'Asti","13.48","13.25","13.27","8.75",
"005036","Cerro Tanaro","9.38","14.3","17.97","20.22",
"005037","Cessole","11.98","14.65","15.02","5.01",
"005038","Chiusano d'Asti","17.39","9.03","27.33","13.27",
"005039","Cinaglio","28.79","15.75","13.53","22.68",
"005040","Cisterna d'Asti","8.61","14.33","13.72","16.41",
"005041","Coazzolo","9.68","19.77","20","20.62",
"005042","Cocconato","19.44","23.16","17.54","16.42",
"005044","Corsione","8.71","9.13","27.71","14.05",
"005045","Cortandone","0","12.2","12.12","15.46",
"005046","Cortanze","21.16","18.08","21.78","18.15",
"005047","Cortazzone","4.52","9.15","15.19","26.09",
"005048","Cortiglione","21.45","15.9","10.47","10.54",
"005049","Cossombrato","7.67","9.52","19.18","5.89",
"005050","Costigliole d'Asti","14.71","16.32","12.06","13.18",
"005051","Cunico","14.14","6.13","24.67","16.65",
"005052","Dusino San Michele","8.67","10.7","11.61","14.33",
"005053","Ferrere","12.52","10.62","16.17","17.54",
"005054","Fontanile","20.87","15.82","7.02","19.43",
"005055","Frinco","11","9.36","14.26","11.75",
"005056","Grana","28.19","37.34","16.72","25.3",
"005057","Grazzano Badoglio","38.43","19.45","19.53","17.99",
"005058","Incisa Scapaccino","10.67","16.01","15.45","13.48",
"005059","Isola d'Asti","9.06","12.95","17.01","19.16",
"005060","Loazzolo","17.49","20.09","11.16","17.17",
"005061","Maranzana","38.94","35.52","11.01","15.24",
"005062","Maretto","12.63","13.04","29.37","21.71",
"005063","Moasca","14.42","16.29","20.43","8.19",
"005064","Mombaldone","4.45","13.82","0","20.05",
"005065","Mombaruzzo","15.09","15.29","14.41","18.23",
"005066","Mombercelli","13.38","11.41","15.12","9.44",
"005067","Monale","8.89","14.16","8.06","9.93",
"005068","Monastero Bormida","13.39","20.05","13.96","11.79",
"005069","Moncalvo","17.03","15.68","14.28","15.45",
"005070","Moncucco Torinese","13.44","16.96","11.36","10.15",
"005071","Mongardino","13.66","27.82","14.15","20.75",
"005072","Montabone","17.6","14.95","14.86","23.46",
"005073","Montafia","18.33","13.85","18.07","23.43",
"005074","Montaldo Scarampi","10.19","15.66","20.98","27.56",
"005075","Montechiaro d'Asti","15.22","18.63","15.72","14.07",
"005076","Montegrosso d'Asti","14.92","11.95","11.55","14.99",
"005077","Montemagno","26.25","24.48","20.01","27.34",
"005079","Moransengo","30.08","10.42","15.35","20.15",
"005080","Nizza Monferrato","12.31","17.13","15","14.12",
"005081","Olmo Gentile","12.2","12.5","50.63","25.81",
"005082","Passerano Marmorito","13.39","11.05","8.85","13.47",
"005083","Penango","8.02","18.24","16.55","12.58",
"005084","Piea","8.29","18.6","13.72","11.74",
"005085","Pino d'Asti","17.47","8.77","13.25","4.46",
"005086","Piovà Massaia","18.35","18.84","21.98","25.44",
"005087","Portacomaro","12.58","15.06","17.39","15.45",
"005088","Quaranti","26.18","10.87","16.48","28.25",
"005089","Refrancore","13.92","19.81","18.39","14.07",
"005090","Revigliasco d'Asti","19.02","16.8","15.62","14.18",
"005091","Roatto","10.26","17.79","7.55","18.11",
"005092","Robella","14.21","24.97","18.56","4.11",
"005093","Rocca d'Arazzo","24.02","27.63","21.38","19.57",
"005094","Roccaverano","21.79","22.28","17.59","22.7",
"005095","Rocchetta Palafea","8.76","20.38","14.62","20.23",
"005096","Rocchetta Tanaro","11.72","12.43","15.2","16.56",
"005097","San Damiano d'Asti","12.89","13.37","12.37","12.46",
"005098","San Giorgio Scarampi","38.46","24.29","8.23","25.53",
"005099","San Martino Alfieri","10.21","11.9","13.6","13.68",
"005100","San Marzano Oliveto","10.55","13.47","13.49","5.82",
